name,category,city,district,address,tel,pet_policy,fee,notes,source,last_updated,confidence,friendliness_level,longitude,latitude
野沪Yahoo,cafe,上海,奉贤区,江海村631号,,宠物友好,未知,奉贤优选咖啡馆,腾讯新闻,2026-07-28,低,1,121.445909,30.893532
漫慢宠物友好咖啡店,cafe,上海,宝山区,呼兰西路1-3号,,宠物友好,未知,户外大草坪;宠物运动会,搜狐,2026-07-28,低,1,,
KOI The(月亮湾宠物友好店),cafe,上海,虹口区,瑞虹路188号1层1-25室,021-65053121,宠物友好,人均26,09:30-22:00,腾讯地图,2026-07-28,低,1,121.499597,31.263532
wuang汪宠物友好店,cafe,上海,静安区,永源路6号B112,,宠物友好,人均49,09:00-21:30,腾讯地图,2026-07-28,低,1,121.439054,31.220162
CP静安(原晶品),mall,上海,静安区,愚园路68号,,室内狗狗可落地(需牵绳),未知,宠物电梯;多家宠物友好餐厅,腾讯新闻,2026-07-28,低,2,121.446407,31.225586
Fotografiska影像艺术中心,community,上海,静安区,光复路127号,,宠物友好,未知,四层楼;咖啡厅/餐厅/展厅对狗开放,腾讯新闻,2026-07-28,低,1,,
PawSmart,community,上海,静安区,裕通路89号得物线下门店,,宠物友好,未知,500平室内恒温遛狗场地,腾讯新闻,2026-07-28,低,1,121.453125,31.243075
哒哒爪人宠邻里空间,community,上海,虹口区,瑞虹天地月亮湾2楼,,宠物友好,未知,大型狗/脆皮狗分区;咖啡吧台,腾讯新闻,2026-07-28,低,1,121.498042,31.263998
LA COUR小酒馆,restaurant,上海,黄浦区,长乐路462号集社东楼1楼101室,,宠物友好,未知,西班牙餐厅;有羊驼;10:00-19:00,腾讯新闻,2026-07-28,低,1,121.458023,31.2207
AIRPARK人类友好公园,community,上海,黄浦区,BFC外滩金融中心B1层,,宠物友好,未知,560㎡室内撒野区;新风系统,腾讯新闻,2026-07-28,低,1,,
镛舍酒店,hotel,上海,静安区,,宠物友好,未知,宠尚主义主题露台房;宠物备品,头条,2026-07-28,,低,2,121.46317,31.229702
比斯特购物村,mall,上海,浦东新区,比斯特购物村,,宠物友好,未知,宠物推车/饮水/休息区,头条,2026-07-28,低,1,121.681439,31.138692
奉贤希尔顿酒店,hotel,上海,奉贤区,,宠物友好,未知,12间宠物别墅客房;宠物备品;遛狗路线/玩乐草坪,头条,2026-07-28,,低,2,121.473945,30.918406
阿纳迪酒店,hotel,上海,静安区,,宠物友好,未知,户外宠物友好空间;宠物专属美食;露台早午餐,头条,2026-07-28,,低,2,,
BFC外滩金融中心,mall,上海,黄浦区,外滩金融中心,,宠物友好(120+商户),未知,30+宠物友好餐厅+90+商店,商业地产观察,2026-07-28,低,1,121.498267,31.225806
西岸凤巢Al Plaza,mall,上海,徐汇区,云锦路683号,,宠物友好,未知,服务台免费租推车;三楼户外草坪公园,商业地产观察,2026-07-28,低,1,121.459812,31.163944
博荟广场ONE EAST,mall,上海,黄浦区,中山南一路788号,,宠物友好,未知,宠物推车/美容;萌宠市集,腾讯新闻,2026-07-28,低,1,121.479947,31.196797
桃源π商业广场,mall,上海,普陀区,泸定路388号,,宠物友好,未知,户外宠物乐园;爬梯/滑梯,腾讯新闻,2026-07-28,低,1,,
虹桥南丰城,mall,上海,长宁区,遵义路100号,,宠物友好,未知,30+宠物友好商户;生境花园,腾讯新闻,2026-07-28,低,1,,
苏河湾万象天地,mall,上海,静安区,,宠物友好,未知,宠物专区(鲜食/美容/寄养);80%餐饮有外摆,腾讯新闻,2026-07-28,,低,2,121.478536,31.242508
南翔印象城MEGA,mall,上海,嘉定区,,宠物友好(室内不落地),未知,免费推车;宠物专用电梯;6楼萌宠乐园,腾讯新闻,2026-07-28,,低,2,121.305338,31.305123
长宁来福士,mall,上海,长宁区,,宠物友好(室内不落地),未知,户外草坪;電力宠物百货1000㎡,腾讯新闻,2026-07-28,,低,2,121.415017,31.216422
龙湖金汇天街,mall,上海,奉贤区,,宠物友好(肩高<35cm),未知,奉贤首家;免费推车,头条,2026-07-28,,低,2,,
和平公园,park,上海,虹口区,和平公园1号口下沉式广场,,宠物友好(泊狗位),免费,4个泊狗位;代客泊狗,腾讯新闻,2026-07-28,低,1,121.503855,31.241779
Bijou,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,121.473667,31.230525
mignon9,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,121.447914,31.213112
sof garden,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,,
gubigubi,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,121.473667,31.230525
兰巴赫,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,121.473667,31.230525
hugo husky house,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,121.463475,31.219675
老乾杯,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,,
Onita,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,121.473667,31.230525
VITA Bistro,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,,
PPT小酒馆,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,121.497128,31.138722
Crave,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,,
LE COQ,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,,
gula,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,121.473667,31.230525
SALTYbistro,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,121.473667,31.230525
COMETA,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1,,
Plusone,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1,121.473667,31.230525
Spot Table,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1,,
ese.coffee,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1,121.473667,31.230525
Hey Barista,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1,,
松茗园,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1,121.242835,31.407139
EAU CAFE,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1,121.457733,31.210764
W Coffee,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1,121.68369,31.244257
The Waterhouse,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1,,
PUYEE,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1,121.473667,31.230525
Hey go黑狗咖啡,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1,121.403145,31.136808
成都春熙路voco酒店,hotel,成都,锦江区,东大街上东大街段9号,,全房型宠物友好,300/天清洁费,10kg以内;需提前1天;全程推车或航空箱,携程,2026-07-28,高,1,104.078021,30.656609
成都杜甫草堂漫心府,hotel,成都,青羊区,草堂路58号,,收费携带宠物,收费,中式风格;近杜甫草堂,携程,2026-07-28,高,1,,
2m coffee(高新店),cafe,成都,高新区,富华南路1955号,,宠物友好,未知,有草地给狗奔跑;分了狗狗区域,网易,2026-07-28,低,1,,
Stamp Cafe梵壹,cafe,成都,武侯区,致民路34号附15号1栋1楼,,宠物友好,未知,欧洲街头露营风;门口草坪;10:00-19:30,搜狐,2026-07-28,低,1,104.077066,30.64284
canpet犬岛公园,park,成都,高新区,吉瑞二路99号保利时光里中央广场1栋1楼,,宠物友好,未知,一整栋宠物房;专属草坪和露营区;宠物必需品,网易,2026-07-28,低,1,104.063056,30.555314
BELLOCO倍乐,restaurant,成都,锦江区,三圣街红石柱横街10号院,,宠物友好,未知,新中式约会餐厅;提供水碗/零食/狗窝,网易,2026-07-28,低,1,104.080015,30.649129
绘咖啡(绘厨ON THE ROOF),cafe,成都,锦江区,总府路15号王府井影院9楼屋顶,,宠物友好,未知,屋顶露台花园;萌宠交友;宠物用水;生日派对,搜狐,2026-07-28,低,1,,
Pause space,cafe,成都,成华区,望平街,,宠物友好,未知,极简纯白;牛奶盒装饰;宠物喝水区,搜狐,2026-07-28,低,1,104.026875,30.630925
路上记忆咖啡馆,cafe,成都,武侯区,神仙树大院旁,,允许动物入内,未知,前外科医生开的;每周领养活动;西餐惊艳,咖啡笔记,2026-07-28,低,1,103.980036,30.818049
WORMHOLE摘星宠物友好酒馆,cafe,成都,武侯区,天府四街688号2栋L405-b,,宠物友好,人均57,06:00-02:00,腾讯地图,2026-07-28,低,1,104.053115,30.542755
明日巴适,mall,成都,武侯区,,宠物友好,未知,爪爪岛/DogDay宠物生活店;人宠互动,腾讯新闻,2026-07-28,,低,2,,
成都保利时光里,mall,成都,高新区,,宠物友好,未知,约2000㎡草坪;宠物公园;骑行友好,腾讯新闻,2026-07-28,,低,2,104.062842,30.557379
成都大悦城,mall,成都,武侯区,,宠物友好,未知,成都首个宠物友好MALL;饮水池/牵引绳/尿垫/拾便袋,头条,2026-07-28,,低,2,104.011166,30.626041
成都来福士广场,mall,成都,武侯区,,宠物友好,未知,二楼宠物乐园;宠物友好卫生间/电梯,商业地产观察,2026-07-28,,低,2,104.068125,30.630958
深圳蓝楹湾度假酒店,hotel,深圳,南山区,华侨城欢乐海南,,宠物友好,未知,可携带宠物同游,460.net,2026-07-28,低,1,,
海岸城购物中心,mall,深圳,南山区,,宠物友好(需推车),未知,租宠物用具;宠物卫生间/电梯;Manner外摆,深圳本地宝,2026-07-28,,低,2,113.935767,22.51685
南山万象天地,mall,深圳,南山区,,宠物友好,未知,开放式街区;可牵绳遛狗;推车租借;宠物饮水,深圳本地宝,2026-07-28,,低,2,113.954221,22.541787
华侨城生态绿地,park,深圳,南山区,华侨城绿地,,宠物友好,免费,大草坪遛弯天堂;绿树遮阳,深圳本地宝,2026-07-28,低,1,114.119428,22.675144
燕晗山郊野公园,park,深圳,南山区,,宠物友好,免费,有山有水;华侨城区域宠物友好,深圳本地宝,2026-07-28,,低,2,,
G&G创意社区,community,深圳,南山区,,宠物友好,未知,宠物市集/展览/电影会;咖啡餐厅允许宠物,深圳本地宝,2026-07-28,,低,2,113.918597,22.492065
华侨城创意文化园,community,深圳,南山区,,宠物友好,未知,餐厅商店大部分宠物友好;需牵绳,深圳本地宝,2026-07-28,,低,2,113.993477,22.537349
懒哈哈食 HUSKY的朋友,restaurant,深圳,南山区,欢乐海岸曲水湾畔,,宠物主题西餐厅,未知,500㎡;宠物餐厅+哈士奇狗咖;宠物营养师,460.net,2026-07-28,低,2,113.991235,22.523474
江潮荟,restaurant,深圳,南山区,欢乐海岸蓝楹坊6号,,宠物友好,未知,私房潮菜;推荐露台座位,460.net,2026-07-28,低,1,,
四季椰林椰子鸡,restaurant,深圳,南山区,华侨城益田假日广场店,,宠物友好,未知,海南椰子鸡;4个椰子一锅汤,460.net,2026-07-28,低,1,113.969365,22.524482
深圳来福士广场,mall,深圳,南山区,,宠物友好,未知,L5层5000㎡天台宠爱乐园;宠物饮水/冲洗/宠物袋,商业地产观察,2026-07-28,,低,2,114.057939,22.543527
海底捞(上河坊萌宠派对店),restaurant,深圳,宝安区,上河坊,,全国首家萌宠派对主题店,未知,新风系统/净化器;饮水碗/零食/宠物菜品,新快报,2026-07-28,低,2,114.046801,22.597812
星巴克宠物友好门店,cafe,全国,多城市,多地门店,,宠物友好,未知,专属座位;免费爪布奇诺;宠物饮水,新快报,2026-07-28,低,1,,
粤海天地,mall,广州,天河区,,宠物友好,未知,宠物节;餐厅宠物专属菜单,新快报,2026-07-28,,低,2,113.323088,23.126635
汉溪K11,mall,广州,番禺区,,宠物友好,未知,宠物友好主题市集;障碍赛/干饭比赛,新快报,2026-07-28,,低,2,113.328222,22.985677
领展广场,mall,广州,白云区,,宠物友好,未知,拍爪乐园;跳圈/隧道/秋千,新快报,2026-07-28,,低,2,113.448209,23.095759
天環Parc Central,mall,广州,天河区,,宠物友好,未知,萌宠乐园;跳圈/隧道/秋千,新快报,2026-07-28,,低,2,,
圆Cafe Round,cafe,广州,荔湾区,花地大道南鱼尾西路8号珠江钢琴创梦园2栋8楼,,室内可携带宠物,未知,现代简约高空咖啡店;中小型犬友好,头条,2026-07-28,低,2,113.223988,23.057978
PARKing片刻咖啡,cafe,广州,荔湾区,西村街道西增路63号T.I.T原创荟B4B5栋,,室外可携带宠物,未知,独栋别墅;户外庭院,头条,2026-07-28,低,2,113.237384,23.144909
Open Dog Coffee,cafe,广州,荔湾区,曼宁街1号408铺,,宠物友好,未知,狗狗主题咖啡店,头条,2026-07-28,低,1,113.317209,23.10204
济州岛韩餐小酒馆,restaurant,广州,番禺区,南村镇新城路4号半山创意园内103-104,,室内可携带宠物,未知,韩系小酒馆;韩餐正宗,头条,2026-07-28,低,2,,
苏州阳澄湖半岛重云巷街区,scenic,苏州,相城区,阳澄湖半岛重云巷,,宠物友好街区,未知,1500㎡风雨操场;800㎡潮汐戏水池;鲜食餐厅/摄影/度假酒店,新民晚报,2026-07-28,低,1,,
探花府花间堂,hotel,苏州,姑苏区,平江路潘氏老宅,,允许宠物入住,未知,古宅活化;文化住宿+宠物陪伴,头条,2026-07-28,低,1,120.632368,31.313413
WOOOOF苏式热狗店,restaurant,苏州,姑苏区,平江路卫道观前16号,,宠物友好,未知,东方美学+赛博朋克;小狗零食;定期比赛,头条,2026-07-28,低,1,120.635408,31.313803
虎丘湿地萌宠乐园,park,苏州,虎丘区,,宠物友好,未知,宠物游乐设施;专业驯养;周末遛狗首选,潮新闻,2026-07-28,,低,2,120.57166,31.35662
苏州树山村希尔顿,hotel,苏州,虎丘区,树山路88号,,收费携带宠物,350元清洁费,树山村与启龙湖;温泉;房间带阳台,携程,2026-07-28,高,1,,
小河公园,park,杭州,拱墅区,小河公园,,宠物友好,免费,油罐改造星巴克宠物友好店;宠物休息区;拴绳装置,潮新闻,2026-07-28,低,1,120.136978,30.309091
大运河杭钢公园,park,杭州,拱墅区,,宠物友好,免费,4.5万㎡中央大草坪;工业风;宠物休息区,潮新闻,2026-07-28,,低,2,120.173145,30.354851
金沙湖公园,park,杭州,钱塘区,,宠物友好,免费,人工沙滩/椰林步道;大片草坪,潮新闻,2026-07-28,,低,2,120.319745,30.308018
杭州富春山居高尔夫度假村,hotel,杭州,富阳区,富春山居,,宠物友好(怡亲联名),未知,客房萌宠主题;定制旅行礼包,腾讯新闻,2026-07-28,低,1,,
湖州西塞山鸿居酒店,hotel,湖州,吴兴区,,宠物友好(怡亲联名),未知,客房萌宠主题;定制旅行礼包,腾讯新闻,2026-07-28,,低,2,120.009901,30.84406
湖州灵粮农场,scenic,湖州,吴兴区,,宠物友好,未知,1700亩农场;宠物自由奔跑;骑马/划船/采摘,潮新闻,2026-07-28,,低,2,120.086881,30.894178
安吉浮云谷,scenic,安吉,安吉县,,宠物友好,未知,5万方草原;冬季嬉雪乐园;宠物专属玩雪区/运动区/医疗站,潮新闻,2026-07-28,,低,2,119.680261,30.638803
德清江南瑶坞旅游度假区,scenic,德清,德清县,,宠物友好,未知,萌宠能量补给站;观光车宠物友好专座,潮新闻,2026-07-28,,低,2,,
上海新天地朗廷酒店,hotel,上海,黄浦区,,宠物友好(怡亲联名),未知,客房萌宠主题;定制旅行礼包,腾讯新闻,2026-07-28,,低,2,121.474439,31.221691
南京鲁能美高梅美荟酒店,hotel,南京,建邺区,,宠物友好(怡亲联名),未知,客房萌宠主题;定制旅行礼包,腾讯新闻,2026-07-28,,低,2,,
三亚悦榕庄,hotel,三亚,海棠湾区,,宠物友好(怡亲联名),未知,客房萌宠主题;定制旅行礼包,腾讯新闻,2026-07-28,,低,2,109.499943,18.219369
崇明区宠物友好消费场景(77家),community,上海,崇明区,崇明区全域,,宠物友好(77家场景),未知,2025指引;含餐厅/咖啡/酒店/民宿/乐园,腾讯新闻,2026-07-28,低,1,,
MOMO park,mall,西安,雁塔区,,宠物友好,未知,宠物友好电梯/推车/用品,搜狐,2026-07-28,,低,2,108.945187,34.242856
西安老城根G Park,mall,西安,莲湖区,,宠物友好(户外落地行走),未知,开放式街区;宠物市集,搜狐,2026-07-28,,低,2,108.920659,34.28602
开元商城(西旺店),mall,西安,莲湖区,西稍门商圈,,宠物友好,未知,宠物IP西西;宠物乐园/推车/寄存/洗护中心,中国经济网,2026-07-28,低,1,108.91028,34.259788
源创Oya街区,community,西安,,源创Oya,,宠物友好(开放式户外),未知,宠物休息站/泊狗处;超大室外空间,搜狐,2026-07-28,低,1,,
时光文化主题公园,park,西安,,国营第一钟表机械厂旧址,,宠物友好,免费,红砖厂房改造;宠物休息站;泊狗处,搜狐,2026-07-28,低,1,,
Jill纸柚咖啡,cafe,西安,,时光文化公园,,宠物友好,未知,户外奔跑;周末一位难求,搜狐,2026-07-28,低,1,108.910869,34.199415
ButterCream奶油小狗,cafe,西安,,,宠物友好,未知,人宠社交空间;宠物游乐/社交/摄影/轻食,搜狐,2026-07-28,,低,2,108.939645,34.343207
HALLAKE浩李客(源创Oya店),cafe,西安,,源创Oya街区,,宠物友好,未知,咖啡+宠物+艺术;工业风,搜狐,2026-07-28,低,1,,
西安大都荟,mall,西安,,,宠物友好,未知,宠物灵感艺术节;宠物红毯秀,中国经济网,2026-07-28,,低,2,108.893861,34.237671
量子晨,mall,西安,,,宠物友好,未知,户外座位接受宠物;部分室内支持携宠,搜狐,2026-07-28,,低,2,108.97642,34.222462
创意谷,mall,西安,,,宠物友好(需牵绳),未知,开放式街区;咖啡轻食店宠物友好;宠物饮水碗,搜狐,2026-07-28,,低,2,109.012455,34.212429
JUST CHILL丘,cafe,重庆,渝中区,山城巷80号仁爱堂负1层,,室外可携带宠物,未知,石墙爬满白花;山城巷老巷子;09:00-18:00,头条,2026-07-28,低,2,,
Jeans Coffee牛仔裤咖啡,cafe,重庆,两江新区,龙山二路45号,,室内可携带宠物,未知,社区宝藏店;Dirty醇厚;08:30-18:00,头条,2026-07-28,低,2,106.500163,29.596544
三毛印记咖啡馆(三毛故居店),cafe,重庆,南岸区,黄桷垭老街145号,,室外可携带宠物,未知,三毛故居;暖光灯木质调;09:30-21:00,头条,2026-07-28,低,2,106.60173,29.538087
