name,category,city,district,address,tel,pet_policy,fee,notes,source,last_updated,confidence,friendliness_level
His & Hers 歇歇角农场咖啡,cafe,北京,怀柔区,,宠物友好,未知,农场咖啡;工作日人少,大众点评,2026-07-28,,低,2
Wolfing coffee(卫星厂店),cafe,北京,,卫星厂园区,,宠物友好,未知,整个园区宠物友好,大众点评,2026-07-28,中,1
爱江山park coffee,cafe,北京,,,宠物友好,未知,户外空间大;有草坪,大众点评,2026-07-28,,低,2
LOOSEGOOSE大鹅咖啡(甜水园店),cafe,北京,朝阳区,甜水园,,宠物友好,未知,,大众点评,2026-07-28,中,1
Hooooot Dog宠物咖啡,cafe,北京,,,宠物友好,未知,网红店;狗多,大众点评,2026-07-28,,低,2
ONSITEEE(星火西路店),cafe,北京,朝阳区,星火西路,,宠物友好,未知,网红店,大众点评,2026-07-28,中,1
老山城市休闲公园,park,北京,石景山区,老山南路与上庄大街交叉口西北角,,宠物友好需牵绳,免费,免费免预约;懒人爬山,visitbeijing,2026-07-28,低,1
大兴狼垡城市森林公园,park,北京,大兴区,芦求路与京良路交叉口附近,,官方认证宠物友好,免费,需养犬登记证+疫苗证明;24小时,visitbeijing,2026-07-28,低,1
崔家窑湿地公园,park,北京,海淀区,宏丰渠东路与大牛房五巷交叉口东北角,,宠物友好需牵绳,免费,2万平米水系,visitbeijing,2026-07-28,低,1
黄草湾郊野公园,park,北京,朝阳区,大屯街道北五环路,,宠物友好需牵绳,免费,地广人稀;全天,visitbeijing,2026-07-28,低,1
CKC国际宠物公园,park,北京,通州区,宋庄镇大邓各庄村西南角,,宠物主题乐园,游泳池50元/只,超10万平米,visitbeijing,2026-07-28,低,2
法海寺森林公园,park,北京,石景山区,翠微山南麓模式口28号,,公园可带宠物(寺院不能进),免费,休闲步道,visitbeijing,2026-07-28,低,2
青龙湖森林公园,park,北京,房山区,,可遛狗(野),免费,大绿地无遮挡,头条,2026-07-28,,低,2
首钢园·永定河集,park,北京,石景山区,,宠物友好citywalk,免费,沿河草坪开阔,头条,2026-07-28,,低,2
槐新公园,park,北京,丰台区,,可遛狗(可露营),免费,人少树多安静,头条,2026-07-28,,低,2
丽泽滨水文化公园(二期),park,北京,丰台区,,可遛狗,免费,草坪大,头条,2026-07-28,,低,2
南苑公园,park,北京,丰台区,,可遛狗,免费,草坪大;傍晚晚霞,头条,2026-07-28,,低,2
天元公园,park,北京,丰台区,,可遛狗,免费,银杏季出片,头条,2026-07-28,,低,2
红星集体农庄纪念公园,park,北京,大兴区,,可遛狗,免费,开放式;大片空地,头条,2026-07-28,,低,2
北臧村郊野公园,park,北京,大兴区,,可遛狗,免费,人少地大;可玩水,头条,2026-07-28,,低,2
通明湖公园,park,北京,通州区,,可遛狗,免费,湿地公园;安静,头条,2026-07-28,,低,2
红领巾公园,park,北京,朝阳区,,可遛狗,免费,冬天可滑冰,头条,2026-07-28,,低,2
马家湾公园,park,北京,朝阳区,,可遛狗,免费,面积大,头条,2026-07-28,,低,2
中关村森林公园,park,北京,海淀区,,可遛狗(可露营过夜),免费,够野够大,头条,2026-07-28,,低,2
园外园茶棚公园,park,北京,海淀区,,可遛狗,免费,人少安静,头条,2026-07-28,,低,2
东风公园,park,北京,朝阳区,,免费儿童公园+收费宠物乐园,部分收费,适合全家,头条,2026-07-28,,低,1
镇海寺郊野公园,park,北京,朝阳区,,可遛狗(可露营),免费,人少草坪大,头条,2026-07-28,,低,2
勇士营郊野公园,park,北京,朝阳区,,可遛狗,免费,有大草坪,头条,2026-07-28,,低,2
绿堤公园,park,北京,丰台区,,可遛狗,免费,绿荫大,头条,2026-07-28,,低,2
云岗森林公园,park,北京,丰台区,,可遛狗,免费,人少树多,头条,2026-07-28,,低,2
新发地海子公园,park,北京,丰台区,,可遛狗,免费,西门免费停车,头条,2026-07-28,,低,2
亦庄滨河森林公园,park,北京,大兴区,,可遛狗,免费,长步道+塑胶跑道,头条,2026-07-28,,低,2
金福湿地公园,park,北京,通州区,,可遛狗(可露营),免费,人少;可开车进去,头条,2026-07-28,,低,2
一尺花园(宠物主题店),cafe,上海,奉贤区,洪运路198号,,宠物友好,未知,室内外3万㎡;户外草坪超1万㎡,腾讯新闻,2026-07-28,低,1
野沪Yahoo,cafe,上海,奉贤区,江海村631号,,宠物友好,未知,奉贤优选咖啡馆,腾讯新闻,2026-07-28,低,1
漫慢宠物友好咖啡店,cafe,上海,宝山区,呼兰西路1-3号,,宠物友好,未知,户外大草坪;宠物运动会,搜狐,2026-07-28,低,1
KOI The(月亮湾宠物友好店),cafe,上海,虹口区,瑞虹路188号1层1-25室,021-65053121,宠物友好,人均26,09:30-22:00,腾讯地图,2026-07-28,低,1
wuang汪宠物友好店,cafe,上海,静安区,永源路6号B112,,宠物友好,人均49,09:00-21:30,腾讯地图,2026-07-28,低,1
CP静安(原晶品),mall,上海,静安区,愚园路68号,,室内狗狗可落地(需牵绳),未知,宠物电梯;多家宠物友好餐厅,腾讯新闻,2026-07-28,低,2
Fotografiska影像艺术中心,community,上海,静安区,光复路127号,,宠物友好,未知,四层楼;咖啡厅/餐厅/展厅对狗开放,腾讯新闻,2026-07-28,低,1
PawSmart,community,上海,静安区,裕通路89号得物线下门店,,宠物友好,未知,500平室内恒温遛狗场地,腾讯新闻,2026-07-28,低,1
哒哒爪人宠邻里空间,community,上海,虹口区,瑞虹天地月亮湾2楼,,宠物友好,未知,大型狗/脆皮狗分区;咖啡吧台,腾讯新闻,2026-07-28,低,1
LA COUR小酒馆,restaurant,上海,黄浦区,长乐路462号集社东楼1楼101室,,宠物友好,未知,西班牙餐厅;有羊驼;10:00-19:00,腾讯新闻,2026-07-28,低,1
AIRPARK人类友好公园,community,上海,黄浦区,BFC外滩金融中心B1层,,宠物友好,未知,560㎡室内撒野区;新风系统,腾讯新闻,2026-07-28,低,1
镛舍酒店,hotel,上海,静安区,,宠物友好,未知,宠尚主义主题露台房;宠物备品,头条,2026-07-28,,低,2
比斯特购物村,mall,上海,浦东新区,比斯特购物村,,宠物友好,未知,宠物推车/饮水/休息区,头条,2026-07-28,低,1
奉贤希尔顿酒店,hotel,上海,奉贤区,,宠物友好,未知,12间宠物别墅客房;宠物备品;遛狗路线/玩乐草坪,头条,2026-07-28,,低,2
阿纳迪酒店,hotel,上海,静安区,,宠物友好,未知,户外宠物友好空间;宠物专属美食;露台早午餐,头条,2026-07-28,,低,2
BFC外滩金融中心,mall,上海,黄浦区,外滩金融中心,,宠物友好(120+商户),未知,30+宠物友好餐厅+90+商店,商业地产观察,2026-07-28,低,1
西岸凤巢Al Plaza,mall,上海,徐汇区,云锦路683号,,宠物友好,未知,服务台免费租推车;三楼户外草坪公园,商业地产观察,2026-07-28,低,1
博荟广场ONE EAST,mall,上海,黄浦区,中山南一路788号,,宠物友好,未知,宠物推车/美容;萌宠市集,腾讯新闻,2026-07-28,低,1
桃源π商业广场,mall,上海,普陀区,泸定路388号,,宠物友好,未知,户外宠物乐园;爬梯/滑梯,腾讯新闻,2026-07-28,低,1
虹桥南丰城,mall,上海,长宁区,遵义路100号,,宠物友好,未知,30+宠物友好商户;生境花园,腾讯新闻,2026-07-28,低,1
苏河湾万象天地,mall,上海,静安区,,宠物友好,未知,宠物专区(鲜食/美容/寄养);80%餐饮有外摆,腾讯新闻,2026-07-28,,低,2
南翔印象城MEGA,mall,上海,嘉定区,,宠物友好(室内不落地),未知,免费推车;宠物专用电梯;6楼萌宠乐园,腾讯新闻,2026-07-28,,低,2
长宁来福士,mall,上海,长宁区,,宠物友好(室内不落地),未知,户外草坪;電力宠物百货1000㎡,腾讯新闻,2026-07-28,,低,2
龙湖金汇天街,mall,上海,奉贤区,,宠物友好(肩高<35cm),未知,奉贤首家;免费推车,头条,2026-07-28,,低,2
和平公园,park,上海,虹口区,和平公园1号口下沉式广场,,宠物友好(泊狗位),免费,4个泊狗位;代客泊狗,腾讯新闻,2026-07-28,低,1
Bijou,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
mignon9,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
sof garden,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
gubigubi,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
兰巴赫,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
hugo husky house,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
老乾杯,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
Onita,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
VITA Bistro,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
PPT小酒馆,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
Crave,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
LE COQ,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
gula,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
SALTYbistro,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
COMETA,restaurant,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好餐厅,头条,2026-07-28,低,1
Plusone,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1
Spot Table,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1
ese.coffee,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1
Hey Barista,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1
松茗园,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1
EAU CAFE,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1
W Coffee,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1
The Waterhouse,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1
PUYEE,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1
Hey go黑狗咖啡,cafe,上海,徐汇区,梧桐区,,宠物友好,未知,热门宠物友好咖啡,头条,2026-07-28,低,1
成都春熙路voco酒店,hotel,成都,锦江区,东大街上东大街段9号,,全房型宠物友好,300/天清洁费,10kg以内;需提前1天;全程推车或航空箱,携程,2026-07-28,高,1
成都杜甫草堂漫心府,hotel,成都,青羊区,草堂路58号,,收费携带宠物,收费,中式风格;近杜甫草堂,携程,2026-07-28,高,1
2m coffee(高新店),cafe,成都,高新区,富华南路1955号,,宠物友好,未知,有草地给狗奔跑;分了狗狗区域,网易,2026-07-28,低,1
Stamp Cafe梵壹,cafe,成都,武侯区,致民路34号附15号1栋1楼,,宠物友好,未知,欧洲街头露营风;门口草坪;10:00-19:30,搜狐,2026-07-28,低,1
canpet犬岛公园,park,成都,高新区,吉瑞二路99号保利时光里中央广场1栋1楼,,宠物友好,未知,一整栋宠物房;专属草坪和露营区;宠物必需品,网易,2026-07-28,低,1
BELLOCO倍乐,restaurant,成都,锦江区,三圣街红石柱横街10号院,,宠物友好,未知,新中式约会餐厅;提供水碗/零食/狗窝,网易,2026-07-28,低,1
绘咖啡(绘厨ON THE ROOF),cafe,成都,锦江区,总府路15号王府井影院9楼屋顶,,宠物友好,未知,屋顶露台花园;萌宠交友;宠物用水;生日派对,搜狐,2026-07-28,低,1
Pause space,cafe,成都,成华区,望平街,,宠物友好,未知,极简纯白;牛奶盒装饰;宠物喝水区,搜狐,2026-07-28,低,1
路上记忆咖啡馆,cafe,成都,武侯区,神仙树大院旁,,允许动物入内,未知,前外科医生开的;每周领养活动;西餐惊艳,咖啡笔记,2026-07-28,低,1
WORMHOLE摘星宠物友好酒馆,cafe,成都,武侯区,天府四街688号2栋L405-b,,宠物友好,人均57,06:00-02:00,腾讯地图,2026-07-28,低,1
明日巴适,mall,成都,武侯区,,宠物友好,未知,爪爪岛/DogDay宠物生活店;人宠互动,腾讯新闻,2026-07-28,,低,2
成都保利时光里,mall,成都,高新区,,宠物友好,未知,约2000㎡草坪;宠物公园;骑行友好,腾讯新闻,2026-07-28,,低,2
成都大悦城,mall,成都,武侯区,,宠物友好,未知,成都首个宠物友好MALL;饮水池/牵引绳/尿垫/拾便袋,头条,2026-07-28,,低,2
成都来福士广场,mall,成都,武侯区,,宠物友好,未知,二楼宠物乐园;宠物友好卫生间/电梯,商业地产观察,2026-07-28,,低,2
深圳蓝楹湾度假酒店,hotel,深圳,南山区,华侨城欢乐海南,,宠物友好,未知,可携带宠物同游,460.net,2026-07-28,低,1
海岸城购物中心,mall,深圳,南山区,,宠物友好(需推车),未知,租宠物用具;宠物卫生间/电梯;Manner外摆,深圳本地宝,2026-07-28,,低,2
南山万象天地,mall,深圳,南山区,,宠物友好,未知,开放式街区;可牵绳遛狗;推车租借;宠物饮水,深圳本地宝,2026-07-28,,低,2
华侨城生态绿地,park,深圳,南山区,华侨城绿地,,宠物友好,免费,大草坪遛弯天堂;绿树遮阳,深圳本地宝,2026-07-28,低,1
燕晗山郊野公园,park,深圳,南山区,,宠物友好,免费,有山有水;华侨城区域宠物友好,深圳本地宝,2026-07-28,,低,2
G&G创意社区,community,深圳,南山区,,宠物友好,未知,宠物市集/展览/电影会;咖啡餐厅允许宠物,深圳本地宝,2026-07-28,,低,2
华侨城创意文化园,community,深圳,南山区,,宠物友好,未知,餐厅商店大部分宠物友好;需牵绳,深圳本地宝,2026-07-28,,低,2
懒哈哈食 HUSKY的朋友,restaurant,深圳,南山区,欢乐海岸曲水湾畔,,宠物主题西餐厅,未知,500㎡;宠物餐厅+哈士奇狗咖;宠物营养师,460.net,2026-07-28,低,2
江潮荟,restaurant,深圳,南山区,欢乐海岸蓝楹坊6号,,宠物友好,未知,私房潮菜;推荐露台座位,460.net,2026-07-28,低,1
四季椰林椰子鸡,restaurant,深圳,南山区,华侨城益田假日广场店,,宠物友好,未知,海南椰子鸡;4个椰子一锅汤,460.net,2026-07-28,低,1
深圳来福士广场,mall,深圳,南山区,,宠物友好,未知,L5层5000㎡天台宠爱乐园;宠物饮水/冲洗/宠物袋,商业地产观察,2026-07-28,,低,2
海底捞(上河坊萌宠派对店),restaurant,深圳,宝安区,上河坊,,全国首家萌宠派对主题店,未知,新风系统/净化器;饮水碗/零食/宠物菜品,新快报,2026-07-28,低,2
星巴克宠物友好门店,cafe,全国,多城市,多地门店,,宠物友好,未知,专属座位;免费爪布奇诺;宠物饮水,新快报,2026-07-28,低,1
粤海天地,mall,广州,天河区,,宠物友好,未知,宠物节;餐厅宠物专属菜单,新快报,2026-07-28,,低,2
汉溪K11,mall,广州,番禺区,,宠物友好,未知,宠物友好主题市集;障碍赛/干饭比赛,新快报,2026-07-28,,低,2
领展广场,mall,广州,白云区,,宠物友好,未知,拍爪乐园;跳圈/隧道/秋千,新快报,2026-07-28,,低,2
天環Parc Central,mall,广州,天河区,,宠物友好,未知,萌宠乐园;跳圈/隧道/秋千,新快报,2026-07-28,,低,2
圆Cafe Round,cafe,广州,荔湾区,花地大道南鱼尾西路8号珠江钢琴创梦园2栋8楼,,室内可携带宠物,未知,现代简约高空咖啡店;中小型犬友好,头条,2026-07-28,低,2
PARKing片刻咖啡,cafe,广州,荔湾区,西村街道西增路63号T.I.T原创荟B4B5栋,,室外可携带宠物,未知,独栋别墅;户外庭院,头条,2026-07-28,低,2
Open Dog Coffee,cafe,广州,荔湾区,曼宁街1号408铺,,宠物友好,未知,狗狗主题咖啡店,头条,2026-07-28,低,1
济州岛韩餐小酒馆,restaurant,广州,番禺区,南村镇新城路4号半山创意园内103-104,,室内可携带宠物,未知,韩系小酒馆;韩餐正宗,头条,2026-07-28,低,2
苏州阳澄湖半岛重云巷街区,scenic,苏州,相城区,阳澄湖半岛重云巷,,宠物友好街区,未知,1500㎡风雨操场;800㎡潮汐戏水池;鲜食餐厅/摄影/度假酒店,新民晚报,2026-07-28,低,1
探花府花间堂,hotel,苏州,姑苏区,平江路潘氏老宅,,允许宠物入住,未知,古宅活化;文化住宿+宠物陪伴,头条,2026-07-28,低,1
WOOOOF苏式热狗店,restaurant,苏州,姑苏区,平江路卫道观前16号,,宠物友好,未知,东方美学+赛博朋克;小狗零食;定期比赛,头条,2026-07-28,低,1
虎丘湿地萌宠乐园,park,苏州,虎丘区,,宠物友好,未知,宠物游乐设施;专业驯养;周末遛狗首选,潮新闻,2026-07-28,,低,2
苏州树山村希尔顿,hotel,苏州,虎丘区,树山路88号,,收费携带宠物,350元清洁费,树山村与启龙湖;温泉;房间带阳台,携程,2026-07-28,高,1
小河公园,park,杭州,拱墅区,小河公园,,宠物友好,免费,油罐改造星巴克宠物友好店;宠物休息区;拴绳装置,潮新闻,2026-07-28,低,1
大运河杭钢公园,park,杭州,拱墅区,,宠物友好,免费,4.5万㎡中央大草坪;工业风;宠物休息区,潮新闻,2026-07-28,,低,2
金沙湖公园,park,杭州,钱塘区,,宠物友好,免费,人工沙滩/椰林步道;大片草坪,潮新闻,2026-07-28,,低,2
杭州富春山居高尔夫度假村,hotel,杭州,富阳区,富春山居,,宠物友好(怡亲联名),未知,客房萌宠主题;定制旅行礼包,腾讯新闻,2026-07-28,低,1
湖州西塞山鸿居酒店,hotel,湖州,吴兴区,,宠物友好(怡亲联名),未知,客房萌宠主题;定制旅行礼包,腾讯新闻,2026-07-28,,低,2
湖州灵粮农场,scenic,湖州,吴兴区,,宠物友好,未知,1700亩农场;宠物自由奔跑;骑马/划船/采摘,潮新闻,2026-07-28,,低,2
安吉浮云谷,scenic,安吉,安吉县,,宠物友好,未知,5万方草原;冬季嬉雪乐园;宠物专属玩雪区/运动区/医疗站,潮新闻,2026-07-28,,低,2
德清江南瑶坞旅游度假区,scenic,德清,德清县,,宠物友好,未知,萌宠能量补给站;观光车宠物友好专座,潮新闻,2026-07-28,,低,2
上海新天地朗廷酒店,hotel,上海,黄浦区,,宠物友好(怡亲联名),未知,客房萌宠主题;定制旅行礼包,腾讯新闻,2026-07-28,,低,2
南京鲁能美高梅美荟酒店,hotel,南京,建邺区,,宠物友好(怡亲联名),未知,客房萌宠主题;定制旅行礼包,腾讯新闻,2026-07-28,,低,2
三亚悦榕庄,hotel,三亚,海棠湾区,,宠物友好(怡亲联名),未知,客房萌宠主题;定制旅行礼包,腾讯新闻,2026-07-28,,低,2
崇明区宠物友好消费场景(77家),community,上海,崇明区,崇明区全域,,宠物友好(77家场景),未知,2025指引;含餐厅/咖啡/酒店/民宿/乐园,腾讯新闻,2026-07-28,低,1
MOMO park,mall,西安,雁塔区,,宠物友好,未知,宠物友好电梯/推车/用品,搜狐,2026-07-28,,低,2
西安老城根G Park,mall,西安,莲湖区,,宠物友好(户外落地行走),未知,开放式街区;宠物市集,搜狐,2026-07-28,,低,2
开元商城(西旺店),mall,西安,莲湖区,西稍门商圈,,宠物友好,未知,宠物IP西西;宠物乐园/推车/寄存/洗护中心,中国经济网,2026-07-28,低,1
源创Oya街区,community,西安,,源创Oya,,宠物友好(开放式户外),未知,宠物休息站/泊狗处;超大室外空间,搜狐,2026-07-28,低,1
时光文化主题公园,park,西安,,国营第一钟表机械厂旧址,,宠物友好,免费,红砖厂房改造;宠物休息站;泊狗处,搜狐,2026-07-28,低,1
Jill纸柚咖啡,cafe,西安,,时光文化公园,,宠物友好,未知,户外奔跑;周末一位难求,搜狐,2026-07-28,低,1
ButterCream奶油小狗,cafe,西安,,,宠物友好,未知,人宠社交空间;宠物游乐/社交/摄影/轻食,搜狐,2026-07-28,,低,2
HALLAKE浩李客(源创Oya店),cafe,西安,,源创Oya街区,,宠物友好,未知,咖啡+宠物+艺术;工业风,搜狐,2026-07-28,低,1
西安大都荟,mall,西安,,,宠物友好,未知,宠物灵感艺术节;宠物红毯秀,中国经济网,2026-07-28,,低,2
量子晨,mall,西安,,,宠物友好,未知,户外座位接受宠物;部分室内支持携宠,搜狐,2026-07-28,,低,2
创意谷,mall,西安,,,宠物友好(需牵绳),未知,开放式街区;咖啡轻食店宠物友好;宠物饮水碗,搜狐,2026-07-28,,低,2
JUST CHILL丘,cafe,重庆,渝中区,山城巷80号仁爱堂负1层,,室外可携带宠物,未知,石墙爬满白花;山城巷老巷子;09:00-18:00,头条,2026-07-28,低,2
Jeans Coffee牛仔裤咖啡,cafe,重庆,两江新区,龙山二路45号,,室内可携带宠物,未知,社区宝藏店;Dirty醇厚;08:30-18:00,头条,2026-07-28,低,2
三毛印记咖啡馆(三毛故居店),cafe,重庆,南岸区,黄桷垭老街145号,,室外可携带宠物,未知,三毛故居;暖光灯木质调;09:30-21:00,头条,2026-07-28,低,2
龙咀公园,park,重庆,,,可遛狗,免费,小众遛狗地;跑步吹风,头条,2026-07-28,,低,2
SKLP新光里,mall,重庆,两江新区,红锦大道89号,,宠物友好,未知,1楼PET PEI PARK宠物乐园;饮水机/拾便袋/拴狗桩;10:00-22:00,头条,2026-07-28,低,1
纽玩餐厅,restaurant,重庆,两江新区,SKLP新光里L4层,,宠物友好,未知,西餐厅;宠物水碗/户外座位,头条,2026-07-28,低,1
契意坊,cafe,重庆,两江新区,新光里A区1层,,宠物友好(小型犬),未知,轻食咖啡;嘉州路地铁站1号口80米,头条,2026-07-28,低,1
兔子太太,cafe,重庆,两江新区,新光里1层临街,,宠物友好,未知,甜品简餐;门口拴狗区,头条,2026-07-28,低,1
湖山咖啡店,cafe,武汉,武昌区,东湖畔,,宠物友好,未知,宠物主题拿铁;防滑地面;宠物水;营收增30-40%,腾讯新闻,2026-07-28,低,1
武商梦时代,mall,武汉,武昌区,,宠物友好,未知,宠物专属电梯/免费推车/寄存箱/户外宠物乐园,腾讯新闻,2026-07-28,,低,2
融汇广场,mall,武汉,江岸区,,宠物友好,未知,高端宠物洗护店;2000+会员,腾讯新闻,2026-07-28,,低,2
长沙万象城,mall,长沙,岳麓区,,宠物友好,未知,爪爪公园PAWPARK/爪爪广场;LG层3号口,长沙本地宝,2026-07-28,,低,2
河西王府井,mall,长沙,岳麓区,,宠物友好(中小型牵绳+嘴套),未知,大型推车;宠物饮水点;中庭绿植区/彩虹台阶,长沙本地宝,2026-07-28,,低,2
洋湖湿地公园,park,长沙,岳麓区,,可遛狗,免费,开阔草坪/绿道;白鹭塔附近;洋湖水街,长沙本地宝,2026-07-28,,低,2
西湖公园,park,长沙,岳麓区,,可遛狗,免费,百亩草坪;栖湖悦茶咖啡馆门前;人少景美,长沙本地宝,2026-07-28,,低,2
云屿星星宠物乐园,park,长沙,岳麓区,坪塘街道鹅州岛,,宠物友好,未知,3000㎡;10+只狗狗员工(收养流浪狗);10:00-20:00,长沙本地宝,2026-07-28,低,1
七只小崽宠物餐厅,restaurant,长沙,岳麓区,,宠物友好,未知,宠物餐厅(为猫狗做饭);3猫4狗服务员;12:00-21:00;15974233361,长沙本地宝,2026-07-28,,低,2
植下咖啡馆,cafe,长沙,岳麓区,,宠物友好(室内牵绳),未知,室外草坪/花园/饮水池;11:00-19:00周一休,长沙本地宝,2026-07-28,,低,2
Reservoir Dogs落水狗咖啡,cafe,天津,和平区,新华路19号,,宠物友好,未知,,大众点评,2026-07-28,中,1
一剂良方食愈身心,cafe,天津,和平区,桂林路进德里1栋底商,,宠物友好,未知,,大众点评,2026-07-28,中,1
